n,titulo,categorias_slugs,categorias_nomes,libras,link_curso,link_thumb,tags
83,"Tópicos de Geociências e saberes socioambientais","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?topicos-geociencias-saberes-socioambientais","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002356_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
84,"Saberes Populares e Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?saberes-populares-educacao-ambiental","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002435_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
85,"Reflorestamento de Matas Ciliares","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?reflorestamento-matas-ciliares","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002519_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
86,"Legislação em Educação Ambiental para a Promoção do Meio Ambiente","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?legislacao-educacao-ambiental-meio-ambiente","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002541_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
87,"O que é Laboratório Vivo?","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?laboratorio-vivo","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002118_Slides-2.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
88,"Educação ambiental a partir da pedagogia de Célestin Freinet","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-pedagogia-celestin-freinet","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002143_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
89,"Práticas Experimentais em Ensino de Ciências","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?praticas-experimentais-ensino-ciencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002313_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
90,"Jardins terapêuticos educativos","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?jardins-terapeuticos-educativos","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002419_Slides-1.jpg","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
91,"Aulas de Campo para o Ensino de Geociência","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?aulas-campo-ensino-geociencias","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/Screenshot_20231114_002507_Slides-1.jpg","educacao-ambiental;educador-ambiental;rio-doce-escolar"
92,"Clube de Ciências: espaço para a Educação Ambiental","ambiente-e-saude","Ambiente e Saúde",nao,"https://mooc.cefor.ifes.edu.br/moodle/course/view.php?clube-ciencias-como-espaco-aprendizagem","https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2023/11/1.-Vitrine.png","doce;educacao-ambiental;educador-ambiental;escolar;rio-doce;rio-doce-escolar;riodoceescolar"
