Unidade,Curso,Carga horaria,Tipo de curso,Matriculas,Certificados,% certificados,Tempo medio conclusao dias,Horas formacao,Classificacao popularidade
Campus Nova Venécia,Introdução à Educação Matemática Crítica,60,Ensino,697,250,0.3586800573888092,26.73617021276596,15000,🟡 Média
Cefor,Escola de Inovação: Robótica e Prototipagem para Professores,60,Extensão,689,165,0.23947750362844702,44.44078947368421,9900,🟡 Média
Cefor,Moodle 4 para Estudantes,20,Ensino,685,393,0.5737226277372263,10.808785529715763,7860,🟢 Alta
Campus Vila Velha,Plantando um Rio mais Doce – Preparando a terra,10,Pesquisa,681,558,0.8193832599118943,15.902752293577981,5580,🟠 Baixa
Campus Vila Velha,Trilhas Científicas: Produtos Educacionais na Educação Ambiental,40,Ensino,681,230,0.3377386196769457,23.591928251121075,9200,🟡 Média
Campus Vila Velha,Jardins terapêuticos educativos,20,Extensão,674,330,0.4896142433234421,25.112540192926044,6600,🟠 Baixa
Campus Vila Velha,Hortas e meliponários educativos,20,Pesquisa,622,213,0.342443729903537,41.06122448979592,4260,🟠 Baixa
Campus Vila Velha,Aulas de campo para o ensino de Geociências,20,Pesquisa,612,196,0.3202614379084967,40.01298701298701,3920,🟠 Baixa
Campus Vila Velha,Alfabetização Científica na Prática Pedagógica,20,Ensino,609,124,0.20361247947454844,27.009090909090908,2480,🟠 Baixa
Cefor,Gestão Estratégica em Instituições Públicas de Ensino Superior,60,Desenvolvimento Institucional,544,238,0.4375,40.2125,14280,🟠 Baixa
Campus Vila Velha,Clube de ciências como espaço de aprendizagem para a educação ambiental,20,Pesquisa,527,199,0.3776091081593928,26.617486338797814,3980,🔴 Muito Baixa
Campus Nova Venécia,Maratona Mais Mulheres na Política: Habilidades humanas e técnicas necessárias a carreira política,20,Ensino,519,113,0.21772639691714837,18.666666666666668,2260,🔴 Muito Baixa
Campus Presidente Kennedy,Inglês para turismo,30,Ensino,506,97,0.191699604743083,22.164835164835164,2910,🟢 Alta
Cefor,Pedagogia de Freinet em aula-passeio,30,Pesquisa,500,127,0.254,35.57142857142857,3810,🟠 Baixa
Campus Vila Velha,Educação Ambiental a partir da pedagogia de Célestin Freinet,20,Pesquisa,437,176,0.40274599542334094,36.89403973509934,3520,🔴 Muito Baixa
Cefor,Micropráticas de Pensamento Computacional em Ciências,60,Pesquisa,429,118,0.27505827505827507,49.029411764705884,7080,🟠 Baixa
Campus Serra,Node.js para iniciantes,60,Ensino,424,84,0.19811320754716982,29.139240506329113,5040,🟡 Média
Campus Vila Velha,Cultura oceânica e poluição dos rios: a relação entre as duas realidades,20,Pesquisa,414,151,0.3647342995169082,41.635714285714286,3020,🔴 Muito Baixa
Campus Vila Velha,O que é Laboratório Vivo?,20,Pesquisa,385,161,0.41818181818181815,31.611842105263158,3220,🔴 Muito Baixa
Campus Vila Velha,Tópicos de Geociências e saberes socioambientais,20,Pesquisa,369,105,0.2845528455284553,26.021505376344088,2100,🔴 Muito Baixa
Cefor,Pensamento Computacional com Alfabetização Científica para Comunidade Surda,60,Ensino,322,65,0.20186335403726707,24.19047619047619,3900,🟠 Baixa
269,Pilares do Estado Democrático de Direito na Constituição Federal de 1988,0.3159851301115242,69.4,,,,,,
Cefor,Operador de Computador,60,Ensino,265,83,0.3132075471698113,14.050632911392405,4980,🟢 Alta
Cefor,"Pomerisch Ekogame: Cultura Pomerana, ambiente e diversão",40,Ensino,251,42,0.16733067729083664,39.63157894736842,1680,🔴 Muito Baixa
Campus Nova Venécia,Maratona Mais Mulheres na Política: Orientações para as Eleições 2020,20,Ensino,237,26,0.10970464135021098,30.384615384615383,520,🔴 Muito Baixa
Campus Viana,Introdução a Educação Comparada e Internacional,45,Ensino,224,76,0.3392857142857143,25.485714285714284,3420,🟠 Baixa
Campus Vila Velha,Catadores como Ecoeducadores Ambientais,45,Ensino,171,84,0.49122807017543857,16.841463414634145,3780,🔴 Muito Baixa
Campus de Alegre,Atendente e Vendedor: Fundamentos do Atendimento e Vendas,10,Extensão,168,63,0.375,7.728813559322034,630,🔴 Muito Baixa
Campus Vitória,Educação Ambiental de Base Comunitária,60,Ensino,160,34,0.2125,18.90625,2040,🟡 Média
Campus Vila Velha,A Plastinação como Recurso Didático no Ensino de Ciências e Biologia,20,Ensino,156,69,0.4423076923076923,11.620689655172415,1380,🟠 Baixa
Campus Vila Velha,Educação em Saúde Ambiental,20,Pesquisa,149,80,0.5369127516778524,17.60810810810811,1600,🔴 Muito Baixa
Campus Ibatiba,Saberes para o professor do Século XXI,40,Extensão,147,30,0.20408163265306123,16.833333333333332,1200,🟡 Média
